id,titulo,autor,ano,genero,editora
1,Culture debate,Adam Lopez,2014,Romance,Carry
2,Sound,Sarah Parker,1941,Terror,Attack
3,Suggest,Elizabeth Montgomery,2015,Terror,Specific
4,Follow not,Jody Jones,2012,Não-ficção,Reach
5,Present,Amanda Giles,1911,Terror,Field
6,Star term bring,Anthony Ellis,1916,Romance,Gun
7,Put within,Amanda Hanna,2016,Romance,Minute
8,Name turn recognize,Jessica Taylor,2009,Terror,Black
9,Through,Larry Goodwin,1949,Ficção,My
10,Party,Michael Estrada,1939,Ficção,Ability
11,Body require,John Brooks,1952,Romance,Agree
12,Long sense,Megan Bowman,1912,Não-ficção,Election
13,Age,Frank Ellis,1946,Romance,Identify
14,Country,Lindsey Lowe,1930,Ficção,Three
15,Employee public,Bryan Cameron,1929,Romance,Wonder
16,Collection,Eric Gardner,1985,Ficção,Statement
17,Hope none,Benjamin Copeland,1901,Romance,Source
18,Expert nature,Mary Brown,1949,Romance,Wife
19,Evidence miss,Cody Paul,1946,Terror,Outside
20,Ground build,Brad Thompson,1959,Ficção,Hot
21,Test young pull,Allen Brown,1909,Ficção,Lot
22,Pass face however,Victoria Davidson,2012,Terror,Congress
23,Tree,Tracy Taylor,1917,Romance,Third
24,Food be,Sandra Wise,1930,Terror,Action
25,Give,Amy Sanchez,1910,Terror,Responsibility
26,Push,Linda Mcintosh,2002,Terror,Practice
27,Floor service walk,Eric Hernandez,1974,Terror,About
28,Some good,Jim Hall,2004,Ficção,At
29,Window,Holly Wells,1956,Não-ficção,Red
30,Seem,Susan Hoffman,1982,Ficção,Myself
31,Involve activity specific,Julie Kim,1955,Não-ficção,Significant
32,Support natural,Kayla Rivas,1930,Terror,Create
33,Its team,Dale Baker,1904,Romance,See
34,Marriage,Jennifer Wilson,1978,Terror,Tough
35,Result interview,Tina Copeland,1935,Não-ficção,Every
36,Expert easy official,Dawn Moreno,1974,Ficção,Effort
37,Career,Stephanie Palmer,1999,Romance,Large
38,Watch common,Jack Thompson,2004,Ficção,Opportunity
39,Just remember,Kim Shaw,2012,Ficção,Himself
40,Half,Zachary Johnson,2018,Terror,Training
41,Guess,Allison Parker,1974,Ficção,North
42,Capital color under,Christopher Weber,2009,Terror,Public
43,Position or maybe,Vanessa Brown,2001,Não-ficção,About
44,Chance remember during,Jasmine Hickman,1922,Não-ficção,Begin
45,Now region safe,Wendy Thomas,2007,Não-ficção,Often
46,Suffer anyone,Michael Austin,1949,Romance,Country
47,West from,Thomas Shepherd,2018,Não-ficção,Million
48,Beat,Tiffany Hayes,1997,Terror,Describe
49,Foreign they international,Donald Villanueva,1946,Romance,Base
50,Discuss better believe,Lisa Petersen,1909,Ficção,Popular
51,Threat letter generation,Chelsea Elliott,1903,Romance,Film
52,Degree city,Jimmy Moody,1921,Terror,Attorney
53,Opportunity,Arthur Dean,1919,Não-ficção,Third
54,Outside,Valerie Martin,1928,Ficção,Doctor
55,Fire keep view,Charles Nielsen,1974,Ficção,Apply
56,Certain over anything,Katherine Porter,1932,Ficção,Sense
57,Certainly interest child,Joshua Wolfe,1943,Terror,Expert
58,Finish,Elizabeth Moore,1931,Não-ficção,Box
59,Again,Matthew Guerrero,1944,Terror,Behavior
60,However,Alan Jones,1988,Ficção,Actually
61,Mission effort,Linda Miller,1975,Romance,Pay
62,Bed sell none,Michelle Aguilar MD,2005,Ficção,Water
63,Difficult begin,Beth Smith,1951,Terror,Detail
64,Mouth discussion,Jennifer Pitts,1934,Ficção,Nation
65,Color me more,Mr. Steven Kirby,1906,Não-ficção,Human
66,Rise mind,Michelle Horn,1906,Terror,Support
67,Another voice,Brian Moody,1952,Ficção,Sense
68,Picture,Robert Richardson,1973,Não-ficção,Something
69,Type agreement shake,Brenda Brown,1938,Não-ficção,Side
70,Fear,Jason Jackson,2014,Não-ficção,Fill
71,Wonder,Tyler Daniels,1942,Romance,Meeting
72,Of another,Jessica Ortega,2017,Ficção,Onto
73,None most,Joseph Wells,1950,Terror,To
74,Director hand senior,Carla Anderson,1958,Ficção,Writer
75,Cost,Timothy Jones,1955,Ficção,Other
76,Space into,Brittany Perez,1925,Não-ficção,Lot
77,Increase manager city,Jacob Monroe,1959,Não-ficção,Project
78,Then stage case,Kelly Sutton,1920,Ficção,Spend
79,Move,Emily Hensley,2016,Não-ficção,Improve
80,Your,Jason Johnson,1978,Terror,Audience
81,Maybe foot describe,Victoria Gonzalez,1992,Romance,They
82,Return out,Richard Cortez,2013,Terror,Game
83,Identify,Jill Smith,1953,Romance,Run
84,Form,Kristen Grant MD,1961,Romance,Remember
85,Church out teach,Michelle Johnson,1906,Romance,Education
86,Guy,Jesse Potter,1960,Romance,Military
87,Simple,Luis Campbell,1935,Romance,Name
88,Religious garden red,Denise Serrano,1913,Não-ficção,Course
89,Eye property wrong,Christopher Salazar,1998,Terror,Kind
90,Coach,Tamara Young,1966,Ficção,Save
91,Mouth,Timothy Mosley,1915,Ficção,Plan
92,Low,Jessica Oconnor,1947,Não-ficção,Base
93,Major,Amanda Brandt,1978,Ficção,Make
94,Gas religious season,John Gonzalez,1958,Romance,Fund
95,Owner ball page,Lauren Park,1900,Não-ficção,Rule
96,Commercial short pick,Theresa Johnson,1941,Não-ficção,Window
97,Control,Gabriel Harmon,1949,Romance,Citizen
98,Or carry treat,Brandon Torres,2004,Ficção,Various
99,Hotel direction,John Watson,1992,Romance,Look
100,Probably field,Tyler Adams,1966,Ficção,Tonight
101,Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,Fantasia,Rocco
102,Harry Potter e a Câmara Secreta,J.K. Rowling,1998,Fantasia,Rocco
103,Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,1999,Fantasia,Rocco
104,Harry Potter e o Cálice de Fogo,J.K. Rowling,2000,Fantasia,Rocco
105,Harry Potter e a Ordem da Fênix,J.K. Rowling,2003,Fantasia,Rocco
106,Harry Potter e o Enigma do Príncipe,J.K. Rowling,2005,Fantasia,Rocco
107,Harry Potter e as Relíquias da Morte,J.K. Rowling,2007,Fantasia,Rocco
108,Divergente,Veronica Roth,2011,Ficção Científica,HarperCollins
109,Insurgente,Veronica Roth,2012,Ficção Científica,HarperCollins
110,Convergente,Veronica Roth,2013,Ficção Científica,HarperCollins
111,Jogos Vorazes,Suzanne Collins,2008,Ficção Científica,Seymour Lawrence
112,Jogos Vorazes - Em Chamas,Suzanne Collins,2009,Ficção Científica,Seymour Lawrence
113,Jogos Vorazes - A Esperança,Suzanne Collins,2010,Ficção Científica,Seymour Lawrence
114,Orgulho e Preconceito,Jane Austen,1813,Romance,Thomas Davison
115,O Grande Gatsby,F. Scott Fitzgerald,1925,Romance,Charles Scribner's Sons
116,Emma,Jane Austen,1815,Romance,John Murray
117,Como Eu Era Antes de Você,Jojo Moyes,2012,Romance,Intrínseca
118,A Culpa é das Estrelas,John Green,2012,Romance,WMF Martins
119,Noites de Tormenta,Nicholas Sparks,1996,Romance,Warner Books
120,Sentimentos e Sensibilidade,Jane Austen,1811,Romance,Thomas Davison
121,Um Amor para Recordar,Nicholas Sparks,1999,Romance,Warner Books
122,Invocação do Mal,Gerald Brittle,2002,Paranormal,Warner Books
123,Crepúsculo,Stephenie Meyer,2005,Romance,Little
124,Anjos e Demônios,Dan Brown,2000,Thriller,Anchor Books
125,O Código Da Vinci,Dan Brown,2003,Thriller,Anchor Books
126,O Menino do Pijama Listrado,John Boyne,2006,Drama,Scholastic
127,A Casa dos Espíritos,Isabel Allende,1982,Romance,Editorial Planeta
128,O Silêncio dos Inocentes,Thomas Harris,1988,Thriller,St. Martin's Press
129,A Mulher de Branco,Wilkie Collins,1859,Romance,Collins
130,Drácula,Bram Stoker,1897,Paranormal,Archibald Constable and Co.
131,Os Sete Maridos de Evelyn Hugo,Taylor Jenkins Reid,2017,Romance,Simon & Schuster
132,O Iluminado,Stephen King,1977,Paranormal,DoubleDay
133,Exorcismo,Thomas B. Allen,1993,Paranormal,New York Times Books
134,It - A Coisa,Stephen King,1986,Terror,Viking
135,Um dia,David Nicholls,2009,Romance,Hodder & Stoughton
136,As Vantagens de Ser Invisível,Stephen Chbosky,1999,Drama,Pocket Books
137,As Crônicas de Nárnia,C.S. Lewis,1950,Fantasia,Geoffrey Bles
138,As Crônicas de Nárnia: O Leão a Feiticeira e o Guarda-Roupa,C.S. Lewis,1950,Fantasia,Geoffrey Bles
139,As Crônicas de Nárnia: O Cavalo e seu Menino,C.S. Lewis,1954,Fantasia,Geoffrey Bles
140,As Crônicas de Nárnia: O Príncipe Caspian,C.S. Lewis,1951,Fantasia,Geoffrey Bles
141,As Crônicas de Nárnia: A Viagem do Peregrino da Alvorada,C.S. Lewis,1952,Fantasia,Geoffrey Bles
142,As Crônicas de Nárnia: A Cadeira de Prata,C.S. Lewis,1953,Fantasia,Geoffrey Bles
143,As Crônicas de Nárnia: O Enigma do Leão,C.S. Lewis,1956,Fantasia,Geoffrey Bles
144,Extraordinário,R.J. Palacio,2012,Drama,Intrínseca
145,Fallen,Lauren Kate,2009,Fantasia,Galera Record
146,Os Instrumentos Mortais,Cassandra Clare,2007,Fantasia,Simon & Schuster
147,Os Instrumentos Mortais: Cidade dos Ossos,Cassandra Clare,2007,Fantasia,Simon & Schuster
148,Os Instrumentos Mortais: Cidade das Cinzas,Cassandra Clare,2008,Fantasia,Simon & Schuster
149,Os Instrumentos Mortais: Cidade de Vidro,Cassandra Clare,2009,Fantasia,Simon & Schuster
150,Os Instrumentos Mortais: Cidade dos Anjos Caídos,Cassandra Clare,2011,Fantasia,Simon & Schuster
151,Os Instrumentos Mortais: Cidade das Almas Perdidas,Cassandra Clare,2012,Fantasia,Simon & Schuster
152,Os Instrumentos Mortais: Cidade do Fogo Celestial,Cassandra Clare,2014,Fantasia,Simon & Schuster
153,Os Instrumentos Mortais: As Peças Infernais,Cassandra Clare,2010,Fantasia,Simon & Schuster
154,Os Instrumentos Mortais: Anjo Mecânico,Cassandra Clare,2010,Fantasia,Simon & Schuster
155,Os Instrumentos Mortais: Príncipe Mecânico,Cassandra Clare,2011,Fantasia,Simon & Schuster
156,Os Instrumentos Mortais: Princesa Mecânica,Cassandra Clare,2013,Fantasia,Simon & Schuster
157,Os Instrumentos Mortais: As Crônicas de Bane,Cassandra Clare,2011,Fantasia,Simon & Schuster
158,Os Instrumentos Mortais: As Crônicas de Bane: O Que Realmente Aconteceu no Peru,Cassandra Clare,2013,Fantasia,Simon & Schuster
159,Os Instrumentos Mortais: As Crônicas de Bane: O Que Realmente Aconteceu em Londres,Cassandra Clare,2013,Fantasia,Simon & Schuster
160,Os Instrumentos Mortais: As Crônicas de Bane: O Que Realmente Aconteceu na América Vitoriana,Cassandra Clare,2013,Fantasia,Simon & Schuster
161,Os Instrumentos Mortais: As Crônicas de Bane: O Que Realmente Aconteceu na Revolução Francesa,Cassandra Clare,2013,Fantasia,Simon & Schuster
162,Os Instrumentos Mortais: As Crônicas de Bane: O Que Realmente Aconteceu na Era do Ferro,Cassandra Clare,2013,Fantasia,Simon & Schuster
163,Percy Jackson e os Olimpianos,Rick Riordan,2005,Fantasia,Hyperion Books
164,Percy Jackson e os Olimpianos: O Ladrão de Raios,Rick Riordan,2005,Fantasia,Hyperion Books
165,Percy Jackson e os Olimpianos: O Mar de Monstros,Rick Riordan,2006,Fantasia,Hyperion Books
166,Percy Jackson e os Olimpianos: A Maldição do Titã,Rick Riordan,2007,Fantasia,Hyperion Books
167,Percy Jackson e os Olimpianos: O Último Olimpiano,Rick Riordan,2009,Fantasia,Hyperion Books
168,Os Heróis do Olimpo: O Herói Perdido,Rick Riordan,2010,Fantasia,Hyperion Books
169,Os Heróis do Olimpo: O Filho de Netuno,Rick Riordan,2011,Fantasia,Hyperion Books
170,Os Heróis do Olimpo: A Marca de Atena,Rick Riordan,2012,Fantasia,Hyperion Books
171,Os Heróis do Olimpo: A Casa de Hades,Rick Riordan,2013,Fantasia,Hyperion Books
172,Os Heróis do Olimpo: O Sangue do Olimpo,Rick Riordan,2014,Fantasia,Hyperion Books
173,Percy Jackson e os Olimpianos: Os Arquivos do Semideus,Rick Riordan,2009,Fantasia,Hyperion Books
174,Percy Jackson e os Olimpianos: Os Arquivos do Semideus: Guia do Mundo dos Deuses,Rick Riordan,2010,Fantasia,Hyperion Books
175,Percy Jackson e os Olimpianos: Os Arquivos do Semideus: Guia da Série,Rick Riordan,2010,Fantasia,Hyperion Books
176,A Cabana,William P. Young,2007,Drama,WMF Martins
177,A Guerra dos Tronos,George R.R. Martin,1996,Fantasia,HarperCollins
178,A Fúria dos Reis,George R.R. Martin,1998,Fantasia,HarperCollins
179,As Crônicas de Gelo e Fogo: O Festim dos Corvos,George R.R. Martin,2005,Fantasia,HarperCollins
180,As Crônicas de Gelo e Fogo: A Dança dos Dragões,George R.R. Martin,2011,Fantasia,HarperCollins
181,O Hobbit,J.R.R. Tolkien,1937,Fantasia,Houghton Mifflin
182,Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,1954,Fantasia,Houghton Mifflin
183,Senhor dos Anéis: As Duas Torres,J.R.R. Tolkien,1954,Fantasia,Houghton Mifflin
184,Senhor dos Anéis: O Retorno do Rei,J.R.R. Tolkien,1955,Fantasia,Houghton Mifflin
185,O Nome do Vento,Patrick Rothfuss,2007,Fantasia,DAW Books
186,O Temor do Sábio,Patrick Rothfuss,2011,Fantasia,DAW Books
187,O Problema dos Três Corpos,Liu Cixin,2008,Ficção Científica,Chongqing Publishing Group
188,A Mão Esquerda da Escuridão,Ursula K. Le Guin,1969,Ficção Científica,Planet
189,1984,George Orwell,1949,Ficção Científica,Secker & Warburg
190,A Máquina do Tempo,H.G. Wells,1895,Ficção Científica,Heinemann
191,O Guia do Mochileiro das Galáxias,Douglas Adams,1979,Ficção Científica,Pan Books
192,O Hobbit: A Jornada Inesperada, J.R.R. Tolkien,1937,Fantasia,HarperCollins
193,A Bússola de Ouro,Philip Pullman,1995,Fantasia,Scholastic Press
194,As Sombras de Grey, E.L. James,2011,Romance, Vintage Books
195,Cinquenta Tons Mais Escuros, E.L. James,2012,Romance, Vintage Books
196,Cinquenta Tons de Liberdade, E.L. James,2012,Romance, Vintage Books
197,As Cinquenta Sombras de Grey Contadas por Christian, E.L. James,2015,Romance, Vintage Books
198,As Cinquenta Sombras de Grey Mais Negras Contadas por Christian, E.L. James,2017,Romance, Vintage Books
199,As Cinquenta Sombras de Grey Mais Livres Contadas por Christian, E.L. James,2021,Romance, Vintage Books
200,As Cinquenta Sombras de Grey Mais Escuras Contadas por Christian, E.L. James,2021,Romance, Vintage Books